bańar;robotník
bancik;bidlo
bancik;bydielko, bydlo
bancikk;pántik,
banda;banda, skupina
banda;?
bandaa;haveď, zberba, banda
bandaska;pozri popis
bandaska;nadoba na benzin
banderija;sprievod
bańďero;brucho
bandista;muzikant,
bandoš;muzikant,
bandur;pozri popis
banďur;kupalisko na dedine
bandura;zemiak
banduračka;zemiaková polievka
bandurcenik;placka zo zemiakov
bandurčaky;pozri popis
bandurčaky;zemiakové placky
bandurčana čokolada;čokolada so zemiakov
bandurčaňik;zemiaková placka
bandurčanka;zemiaková vňať
bandurčava;zemiaky pej.
bandurčeni;zemiakový
bandurčeni cuker;druh sladkosti ...
bandurčenik;zemiakový posúch
bandurčeník;zemiaková placka
bandurčianka;zemiaková vňať
bandurčisko;zemiakové pole
bandurčisko;veľký zemiak
bandurčovńik;zemiakový pagáč
bandurćine;zemiakova vňať
bandureček;zemiak
bandurečka;zemiačik
bandurečkaa;malý zemiačik,
bandurečki;zemiačiky
bandurečkoch;zemiakov
bandurek;zemiačik
banduri;zemiaky
bandurina;zemiaková vňať,
bandurisko;veľký zemiak
bandurka;zemiak
bandurki;zemiaky
bandurki na ľeveš;polievka zemiaková
bandurkinapoľivku;zemiaková polievka
bandurkoch;zemiakoch
bandurkova;zemiakova
bandurkovabrigada;zemiaková brigáda
bandurkove;zemiakove
bandurkovi;zemiakový
bandurkovi;štvarti,
bandurkovy;zemiakový
bandurkovy cuker;sladkosť zo ...
bandurkovýcuker;zemiakový cukor
bandurky;zemiaky
bandurnik;zemiaková lokša
bandurńik;zemiaková placka
bandurňiki;zemiak.placky
bandurńisko;zemiačisko,
banduročki;zemiačky
banduroš;žandár
bandurovńik;zemiakový pagáč
bandury;zemiaky
bandžero;veľké brucho
bandžoro;veľké brucho
bandžur;mláka, jazero
bandžúr;jama s vodou
bandžur;hlbšia voda
bandžur;hať na potoku
bandžuric;člapkať sa vo vode
bandžurik;preliačina v potoku,
bandžurovi;močiarný,
bangateľ;neprístojnosť
bank;kukni bonk, bogar
banka;ustanovizeň
bankeľ;pracový stôl
bankeĺ;nízky obuvnícky stol
banket;krajnica cesty,
banket;vyvyšenina, rimsa,
banki;banki zbijac,
bankk;vklad pri hre
banovac;ľutovať
banovacc;ľutovať, banovať,
bant;pánt
banti;pánty
bantii;spojnica krokví,
bantovac;blázniť
bantovac še;dotknúť sa
bantovacc;znepokojovať
bantuje še;blázni sa
bantuz;pondus
banty;pántik v kuríne
banuj;ľutuj
banuja;banujú,lutujú
banuje;ľutuje
banujem;ľutujem
banujeś;smútiš
banuju;ľutujú
baňur;riečný výmoľ
bańur;výmoľ
baňur;výmoľ
bańurik;vymoľ v potoku alebo
banvagel;vozík želez.
banvaglik;vozík na uhlie
banvagĺik;uhoľný vagón
bapča;babička,
bapčak;skorocel
bapčar;chlap vykonavajúci
bapčeni;popis
bapka;bábika
bapka;na klepanie kosy
bapka;drobný peniaz,
bapkaa;babička
bapkovi;popis
